docdb_family_id,person_ctry_code,applicant_ratio,inventor_ratio,combined_ratio
62599716,NO,0.0,0.375,0.3333
62599716,US,1.0,0.5,0.5556
62599716,GB,0.0,0.125,0.1111
47090380,NO,0.4,0.4,0.4
47090380,US,0.6,0.48,0.5143
47090380,DE,0.0,0.08,0.0571
47090380,CH,0.0,0.04,0.0286
53373417,NO,0.0,0.5,0.3333
53373417,SE,1.0,0.5,0.6667
59078144,NO,1.0,1.0,1.0
60159338,NO,1.0,0.3333,0.6
60159338,SE,0.0,0.6667,0.4
63592801,NO,0.0,0.5,0.4286
63592801,US,1.0,0.5,0.5714
59829449,NO,0.0,0.375,0.3333
59829449,US,1.0,0.5,0.5556
59829449,GB,0.0,0.125,0.1111
51354389,NO,0.5,1.0,0.8
51354389,US,0.5,0.0,0.2
57749889,NO,0.5,1.0,0.75
57749889,US,0.5,0.0,0.25
49118519,NO,1.0,1.0,1.0
61074341,NO,1.0,1.0,1.0
59276784,NO,1.0,1.0,1.0
76641679,NO,1.0,1.0,1.0
61972736,NO,1.0,1.0,1.0
77739063,NO,1.0,1.0,1.0
65324513,NO,1.0,0.8,0.8333
65324513,FR,0.0,0.2,0.1667
69527901,NO,1.0,0.0,0.4
69527901,GB,0.0,1.0,0.6
62620944,NO,1.0,0.0,0.25
62620944,US,0.0,1.0,0.75
61626986,NO,1.0,1.0,1.0
78270297,NO,1.0,1.0,1.0
71123286,NO,0.0,1.0,0.6667
71123286,US,1.0,0.0,0.3333
77257069,NO,1.0,1.0,1.0
70861217,NO,1.0,0.0,0.1667
70861217,BE,0.0,1.0,0.8333
73646343,NO,1.0,1.0,1.0
68917589,NO,0.0,0.5,0.3333
68917589,US,0.5,0.0,0.1667
68917589,NL,0.5,0.5,0.5
66483912,NO,1.0,0.0,0.25
66483912,BE,0.0,1.0,0.75
64742917,NO,1.0,1.0,1.0
79602256,NO,1.0,1.0,1.0
74947425,NO,1.0,1.0,1.0
74114706,NO,1.0,1.0,1.0
66377386,NO,1.0,1.0,1.0
70465214,NO,1.0,1.0,1.0
81973460,NO,1.0,1.0,1.0
77595554,NO,1.0,1.0,1.0
